Nr uczestnika;Preferencje
1;Industrial,14|Country,86
2;Rock,54|Metal,46
3;Alternative,62|Country,38
4;Reggae,69|Metal,31
5;Country,99|Metal,1
6;Reggae,46|Electronic,54
7;Blues,70|Reggae,30
8;Latin,11|Industrial,89
9;Dance,25|Electronic,75
10;World,71|World,29
11;Dance,62|R&B/Soul,38
12;Folk,70|Instrumental,30
13;Latin,23|Alternative,77
14;Pop,88|World,12
15;Classical,38|R&B/Soul,62
16;Jazz,78|Anime,22
17;Alternative,24|Classical,76
18;Vocal,51|Metal,49
19;Metal,18|Blues,82
20;Alternative,22|Jazz,78
21;Country,86|Country,14
22;Vocal,93|Latin,7
23;Comedy,100
24;Jazz,13|Vocal,87
25;Metal,20|Jazz,80
26;R&B/Soul,42|Instrumental,58
27;Anime,86|Alternative,14
28;Instrumental,99|Instrumental,1
29;Comedy,27|Dance,73
30;Latin,23|World,77
31;Rock,73|Industrial,27
32;Comedy,16|Instrumental,84
33;Classical,29|Anime,71
34;Industrial,25|Instrumental,75
35;Classical,62|R&B/Soul,38
36;Vocal,95|Latin,5
37;Anime,74|R&B/Soul,26
38;Jazz,61|Electronic,39
39;Reggae,39|Classical,61
40;Industrial,50|Anime,50
41;Pop,64|Country,36
42;Electronic,38|Vocal,62
43;Vocal,69|Jazz,31
44;Comedy,21|Anime,79
45;Jazz,45|Rock,55
46;Rock,69|Comedy,31
47;Pop,64|Dance,36
48;Reggae,76|Country,24
49;Folk,16|Electronic,84
50;Blues,46|Blues,54
51;Electronic,58|Reggae,42
52;Reggae,7|Country,93
53;Metal,79|Pop,21
54;Folk,25|Electronic,75
55;Dance,83|Anime,17
56;Folk,54|Rock,46
57;Alternative,13|Folk,87
58;Reggae,65|Blues,35
59;Jazz,54|Blues,46
60;Dance,59|Country,41
61;Rock,21|Industrial,79
62;Instrumental,95|Metal,5
63;World,29|Dance,71
64;Classical,7|World,93
65;Blues,68|R&B/Soul,32
66;Metal,66|Industrial,34
67;Classical,44|Latin,56
68;Instrumental,44|Alternative,56
69;Jazz,96|Dance,4
70;Country,85|Dance,15
71;Rock,88|Electronic,12
72;Country,92|R&B/Soul,8
73;Pop,42|Instrumental,58
74;R&B/Soul,18|Folk,82
75;Rock,14|Metal,86
76;Dance,94|Instrumental,6
77;Pop,41|Instrumental,59
78;Rock,26|Latin,74
79;Comedy,4|Reggae,96
80;R&B/Soul,99|Alternative,1
81;World,10|Folk,90
82;Vocal,74|Folk,26
83;Rock,9|R&B/Soul,91
84;Vocal,48|Instrumental,52
85;Alternative,35|Comedy,65
86;R&B/Soul,71|Folk,29
87;World,100
88;Metal,16|Reggae,84
89;Electronic,8|Vocal,92
90;Electronic,15|Metal,85
91;Alternative,21|Jazz,79
92;Country,5|Instrumental,95
93;Comedy,20|Country,80
94;Pop,47|Industrial,53
95;Alternative,57|Blues,43
96;Country,79|Comedy,21
97;Rock,57|Latin,43
98;Latin,88|World,12
99;Comedy,81|Industrial,19
100;Classical,13|Industrial,87
101;Comedy,0|Country,100
102;Blues,94|Anime,6
103;Metal,58|Dance,42
104;Rock,67|World,33
105;R&B/Soul,74|Metal,26
106;Alternative,37|Electronic,63
107;Dance,80|Jazz,20
108;R&B/Soul,81|Metal,19
109;Anime,75|Industrial,25
110;Dance,87|Latin,13
111;Industrial,67|Dance,33
112;Alternative,15|Anime,85
113;Alternative,79|R&B/Soul,21
114;Latin,46|Country,54
115;R&B/Soul,53|Industrial,47
116;Electronic,55|Latin,45
117;Blues,28|Instrumental,72
118;Reggae,100
119;Metal,15|Folk,85
120;Rock,51|Electronic,49
121;Country,99|Country,1
122;Industrial,36|Dance,64
123;Dance,83|Industrial,17
124;Folk,6|World,94
125;Comedy,50|R&B/Soul,50
126;Alternative,7|Comedy,93
127;Alternative,74|Alternative,26
128;Dance,73|Metal,27
129;Latin,13|Comedy,87
130;Latin,61|R&B/Soul,39
131;Anime,94|Anime,6
132;Alternative,12|Reggae,88
133;Vocal,73|Vocal,27
134;Metal,92|R&B/Soul,8
135;Electronic,59|Anime,41
136;Anime,72|Latin,28
137;Blues,41|Rock,59
138;Blues,72|Blues,28
139;Reggae,25|Alternative,75
140;Dance,29|Reggae,71
141;Industrial,77|Alternative,23
142;Anime,56|Country,44
143;Comedy,65|Alternative,35
144;Metal,56|Blues,44
145;Dance,92|Country,8
146;Comedy,5|Classical,95
147;Electronic,10|Folk,90
148;Reggae,25|Folk,75
149;Country,82|Anime,18
150;Latin,81|World,19
151;Metal,32|Vocal,68
152;Dance,78|Metal,22
153;Country,28|Blues,72
154;Rock,73|Anime,27
155;Country,48|Comedy,52
156;Dance,34|Rock,66
157;R&B/Soul,17|Blues,83
158;Instrumental,10|World,90
159;Jazz,27|Folk,73
160;Jazz,81|Pop,19
161;Metal,20|Pop,80
162;Alternative,57|Blues,43
163;Vocal,78|Industrial,22
164;World,27|Metal,73
165;Electronic,7|Electronic,93
166;Classical,48|Electronic,52
167;Jazz,30|Rock,70
168;Electronic,9|Blues,91
169;World,99|Alternative,1
170;Anime,95|Rock,5
171;Instrumental,9|Anime,91
172;Classical,31|Dance,69
173;Classical,54|Folk,46
174;Anime,5|Instrumental,95
175;Reggae,10|Instrumental,90
176;Comedy,79|Instrumental,21
177;Anime,68|Country,32
178;Country,94|Instrumental,6
179;Industrial,77|Pop,23
180;Country,1|Comedy,99
181;Folk,46|Vocal,54
182;Folk,74|Jazz,26
183;R&B/Soul,32|Latin,68
184;Metal,52|Anime,48
185;Electronic,11|Alternative,89
186;Dance,72|Alternative,28
187;Classical,0|Metal,100
