Nr utworu;Rodzaj utworu;Czas utworu
1;Country;497
2;Folk;393
3;Comedy;496
4;Folk;253
5;World;469
6;Instrumental;375
7;Anime;226
8;Jazz;564
9;Comedy;197
10;Instrumental;290
11;Comedy;218
12;Anime;81
13;World;570
14;Folk;505
15;Comedy;173
16;Classical;382
17;Reggae;510
18;R&B/Soul;434
19;Metal;212
20;Rock;150
21;Country;284
22;Country;439
23;World;500
24;Pop;206
25;Vocal;193
26;Blues;289
27;Comedy;158
28;Anime;477
29;Electronic;469
30;R&B/Soul;491
31;Classical;436
32;Comedy;265
33;Blues;229
34;Folk;550
35;Alternative;361
36;R&B/Soul;412
37;Jazz;161
38;Blues;420
39;Anime;344
40;Electronic;486
41;Blues;220
42;Metal;223
43;Jazz;581
44;Classical;484
45;Reggae;462
46;Pop;103
47;Alternative;556
48;Classical;152
49;Reggae;553
50;Electronic;327
51;Folk;515
52;Electronic;341
53;Folk;455
54;Vocal;126
55;Country;188
56;Folk;541
57;R&B/Soul;506
58;Blues;578
59;Reggae;550
60;Anime;302
61;Industrial;318
62;Country;363
63;Alternative;155
64;Jazz;199
65;Vocal;420
66;Reggae;71
67;Dance;152
68;Metal;588
69;Jazz;575
70;Alternative;409
71;Blues;77
72;Jazz;533
73;Reggae;454
74;Rock;133
75;Vocal;353
76;World;496
77;Rock;554
78;Rock;210
79;Vocal;444
80;Country;220
81;Metal;376
82;Blues;334
83;Metal;353
84;Dance;506
85;Rock;380
86;Blues;393
87;Reggae;556
88;Metal;336
89;Blues;424
90;R&B/Soul;122
91;Latin;173
92;Comedy;425
93;Vocal;401
94;Blues;492
95;Instrumental;231
96;Reggae;153
97;Vocal;392
98;Comedy;320
99;Pop;343
100;R&B/Soul;296
101;Alternative;111
102;Metal;231
103;R&B/Soul;412
104;Latin;303
105;Vocal;532
106;Industrial;224
107;Rock;355
108;Latin;464
109;Folk;530
110;World;322
111;Country;96
112;R&B/Soul;463
113;Anime;533
114;R&B/Soul;192
115;Reggae;560
116;Instrumental;181
117;Dance;392
118;Anime;187
119;Industrial;577
120;Metal;205
121;R&B/Soul;462
122;World;484
123;Rock;437
124;Metal;275
125;Jazz;200
126;Folk;575
127;Folk;287
128;World;97
129;World;195
130;R&B/Soul;81
131;Comedy;105
132;Comedy;574
133;Anime;583
134;Metal;327
135;Pop;463
136;Latin;542
137;Comedy;569
138;Country;490
139;Anime;352
140;Jazz;545
141;Jazz;74
142;Instrumental;453
143;Jazz;562
